latitude,longitude,country
-38.416097,-63.616672,Argentina
-25.274398,133.775136,Australia
47.516231,14.550072,Austria
25.930414,50.637772,Bahrain
23.684994,90.356331,Bangladesh
53.709807,27.953389,Belarus
50.503887,4.469936,Belgium
-14.235004,-51.92528,Brazil
42.733883,25.48583,Bulgaria
12.565679,104.990963,Cambodia
56.130366,-106.346771,Canada
-35.675147,-71.542969,Chile
35.86166,104.195397,China
4.570868,-74.297333,Colombia
45.1,15.2,Croatia
35.126413,33.429859,Cyprus
49.817492,15.472962,Czech Republic
56.26392,9.501785,Denmark
26.820553,30.802498,Egypt
61.92411,25.748151,Finland
46.227638,2.213749,France
42.315407,43.356892,Georgia
51.165691,10.451526,Germany
7.946527,-1.023194,Ghana
39.074208,21.824312,Greece
15.783471,-90.230759,Guatemala
22.396428,114.109497,Hong Kong
47.162494,19.503304,Hungary
64.963051,-19.020835,Iceland
20.593684,78.96288,India
-0.789275,113.921327,Indonesia
32.427908,53.688046,Iran
33.223191,43.679291,Iraq
53.41291,-8.24389,Ireland
31.046051,34.851612,Israel
41.87194,12.56738,Italy
36.204824,138.252924,Japan
30.585164,36.238414,Jordan
-0.023559,37.906193,Kenya
29.31166,47.481766,Kuwait
33.854721,35.862285,Lebanon
4.210484,101.975766,Malaysia
-20.348404,57.552152,Mauritius
23.634501,-102.552784,Mexico
-22.95764,18.49041,Namibia
28.394857,84.124008,Nepal
52.132633,5.291266,Netherlands
-40.900557,174.885971,New Zealand
9.081999,8.675277,Nigeria
60.472024,8.468946,Norway
30.375321,69.345116,Pakistan
-9.189967,-75.015152,Peru
12.879721,121.774017,Philippines
51.919438,19.145136,Poland
39.399872,-8.224454,Portugal
18.220833,-66.590149,Puerto Rico
45.943161,24.96676,Romania
61.52401,105.318756,Russia
23.885942,45.079162,Saudi Arabia
14.497401,-14.452362,Senegal
44.016521,21.005859,Serbia
1.352083,103.819836,Singapore
46.151241,14.995463,Slovenia
-30.559482,22.937506,South Africa
35.907757,127.766922,South Korea
40.463667,-3.74922,Spain
60.128161,18.643501,Sweden
46.818188,8.227512,Switzerland
23.69781,120.960515,Taiwan
15.870032,100.992541,Thailand
38.963745,35.243322,Turkey
48.379433,31.16558,Ukraine
23.424076,53.847818,United Arab Emirates
55.378051,-3.435973,United Kingdom
37.09024,-95.712891,United States
-32.522779,-55.765835,Uruguay
6.42375,-66.58973,Venezuela
14.058324,108.277199,Vietnam
-19.015438,29.154857,Zimbabwe
