"country","type","title","release_year","listed_in","description"
"Argentina","TV Show","The Kirlian Frequency",2017,"International TV Shows","In the midnight hour, a lone DJ broadcasts the strangest – and scariest – tales from the outer edges of Kirlian, a lost city somewhere in Argentina."
"Argentina","TV Show","The Kirlian Frequency",2017,"Spanish-Language TV Shows","In the midnight hour, a lone DJ broadcasts the strangest – and scariest – tales from the outer edges of Kirlian, a lost city somewhere in Argentina."
"Argentina","TV Show","The Kirlian Frequency",2017,"TV Horror","In the midnight hour, a lone DJ broadcasts the strangest – and scariest – tales from the outer edges of Kirlian, a lost city somewhere in Argentina."
"Argentina","Movie","El Pepe, a Supreme Life",2018,"Documentaries","In this intimate documentary, former Uruguayan President José ""Pepe"" Mujica talks about lessons he learned while in prison, his ideals and the future."
"Argentina","Movie","El Pepe, a Supreme Life",2018,"International Movies","In this intimate documentary, former Uruguayan President José ""Pepe"" Mujica talks about lessons he learned while in prison, his ideals and the future."
"Argentina","TV Show","Monzon: A Knockout Blow",2018,"Crime TV Shows","This dramatization tells the story of Argentine boxing champion Carlos Monzón, as well as the investigation into the death of his wife Alicia Muñiz."
"Argentina","TV Show","Monzon: A Knockout Blow",2018,"International TV Shows","This dramatization tells the story of Argentine boxing champion Carlos Monzón, as well as the investigation into the death of his wife Alicia Muñiz."
"Argentina","TV Show","Monzon: A Knockout Blow",2018,"Spanish-Language TV Shows","This dramatization tells the story of Argentine boxing champion Carlos Monzón, as well as the investigation into the death of his wife Alicia Muñiz."
"Argentina","TV Show","Encerrados",2018,"International TV Shows","This fictional series tells the stories of what happens to people when they feel caged in, whether physically, psychologically or emotionally."
"Argentina","TV Show","Encerrados",2018,"Spanish-Language TV Shows","This fictional series tells the stories of what happens to people when they feel caged in, whether physically, psychologically or emotionally."
"Argentina","TV Show","Encerrados",2018,"TV Comedies","This fictional series tells the stories of what happens to people when they feel caged in, whether physically, psychologically or emotionally."
"Argentina","Movie","Free Rein: The Twelve Neighs of Christmas",2018,"Children & Family Movies","As Bright Fields preps for its Mistletoe Ball, a broken ornament leads Zoe to a family secret, while Gaby finds herself at the mercy of new boss Mia."
"Argentina","Movie","Free Rein: The Twelve Neighs of Christmas",2018,"Dramas","As Bright Fields preps for its Mistletoe Ball, a broken ornament leads Zoe to a family secret, while Gaby finds herself at the mercy of new boss Mia."
"Argentina","TV Show","Carmel: Who Killed Maria Marta?",2020,"Crime TV Shows","A woman is found dead in her bathtub, with a puddle of blood nearby. Her husband theorizes she had an accident. But an autopsy tells a different story."
"Argentina","TV Show","Carmel: Who Killed Maria Marta?",2020,"Docuseries","A woman is found dead in her bathtub, with a puddle of blood nearby. Her husband theorizes she had an accident. But an autopsy tells a different story."
